comment_text,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,random_feature_1,random_feature_2,toxic
Это действительно хороший совет.,31,3,1,0,4,0.25638570316329434,16,0,0.8268109216623929,1,0
"Прекрасный день, чтобы обсудить эту тему.",42,6,2,2,4,0.7113112646070575,21,0,0.14893581751097607,4,0
Ты совершенно некомпетентен. .,32,5,3,2,5,0.536198758872507,13,1,0.25762034053236715,10,1
какой ужасный комментарий.,28,2,3,3,4,0.941514981455416,15,0,0.06800366510951261,6,1
Ты ничего не понимаешь!,21,3,4,2,0,0.8403750223473241,16,1,0.5420000996955954,7,1
"Мне нравится, как вы объясняете.",32,4,1,0,3,0.5742569561110139,17,0,0.5313694929769391,1,0
Какой ужасный комментарий. ?,30,4,5,3,1,0.03156362086147002,20,1,0.4207482271192713,10,1
ЭТО ЗАМЕЧАТЕЛЬНЫЙ КОММЕНТАРИЙ!,28,4,3,2,1,0.6195773437179686,17,0,0.064500459703283,10,0
"вы отлично справились, продолжайте в том же духе!",48,7,3,2,5,0.4624488408948615,22,0,0.22242801717894078,4,0
Ваш комментарий очень поддерживает.,36,4,0,1,4,0.8083936843916111,22,0,0.2996004933643881,5,0
"Мне нравится, как вы объясняете. ?",32,7,3,2,5,0.24890220371771654,17,1,0.6766421353034673,7,0
твои слова — это полный провал.,31,6,2,2,2,0.09949493582773683,18,0,0.8664979864160219,9,1
Ты совершенно некомпетентен. ТЕКСТ,36,3,2,2,2,0.6465047517258443,19,0,0.3969318231671545,10,1
Ваш комментарий очень поддерживает.,33,5,0,0,3,0.40581062219185104,22,1,0.7918943343825787,10,0
ТВОИ СЛОВА — ЭТО ПОЛНЫЙ ПРОВАЛ.,29,5,4,2,0,0.9845158494366872,16,1,0.6065552702737659,10,1
"ПРЕКРАСНЫЙ ДЕНЬ, ЧТОБЫ ОБСУДИТЬ ЭТУ ТЕМУ.",42,5,3,1,2,0.8865390473882494,21,1,0.5183105339789108,9,0
"Мне нравится, как вы объясняете.",34,4,0,1,2,0.7795621958536653,17,1,0.3333944661381262,9,0
"ПРЕКРАСНЫЙ ДЕНЬ, ЧТОБЫ ОБСУДИТЬ ЭТУ ТЕМУ.",39,5,2,2,5,0.2382891995973272,21,0,0.21374027975398646,8,0
Ты совершенно некомпетентен.,29,4,2,1,5,0.6880428052613525,14,1,0.6741958401163957,0,1
"ЭТО БЫЛА ИНТЕРЕСНАЯ СТАТЬЯ, СПАСИБО. ПРИМЕР",41,5,2,2,0,0.5295413324509246,21,1,0.5874096474573308,0,0
Ты ничего не понимаешь!,21,3,4,3,2,0.10981376526964559,13,0,0.4358550492020502,6,1
Мне понравился ваш пост.,26,5,2,2,1,0.9516884021741588,18,0,0.8150725611871337,4,0
это действительно хороший совет.,30,3,0,1,5,0.7366809590999319,19,1,0.6217795816360806,9,0
Никогда не читал ничего хуже.,28,4,5,2,5,0.3285113749688272,19,0,0.726440083406746,3,1
Очень полезная информация.,27,4,0,0,0,0.28747821939511,16,1,0.5875698047528641,4,0
Зачем ты вообще пишешь? .,25,4,2,2,2,0.34694591619784787,17,0,0.10850589717709014,9,1
Какой ужасный комментарий.,24,2,4,2,2,0.0857967396577275,15,1,0.45375909569263195,8,1
Ты только тратишь время людей.,30,4,4,2,5,0.356343148234457,21,0,0.12062796729183867,6,1
Это действительно хороший совет.,31,5,1,2,5,0.906527781721239,15,0,0.731556913944601,6,0
"Мне нравится, как вы объясняете.",31,6,1,0,2,0.5391997795874518,20,0,0.0554107831814189,2,0
"мне нравится, как вы объясняете.",34,4,0,0,5,0.5197700080214732,18,0,0.3801563703612205,4,0
Какой ужасный комментарий.,28,2,4,1,3,0.8732823462868464,17,0,0.15150105940093006,6,1
спасибо за вашу помощь!,25,5,1,0,4,0.7996794509246651,16,0,0.04272992096536299,7,0
Ваш комментарий очень поддерживает. пример,42,6,1,1,4,0.6119502930174178,18,0,0.5905306073143477,1,0
"ПРЕКРАСНЫЙ ДЕНЬ, ЧТОБЫ ОБСУДИТЬ ЭТУ ТЕМУ.",39,7,1,1,1,0.49608690138052947,23,0,0.35979736672174056,10,0
Зачем ты вообще пишешь?,22,4,2,1,2,0.5085750902872711,19,0,0.9162298586886116,9,1
ТЫ СОВЕРШЕННО НЕКОМПЕТЕНТЕН. ТЕКСТ,34,5,5,3,1,0.6096040973273216,16,0,0.1648414030451797,5,1
"Ужасный пост, удали это.",25,4,2,2,0,0.8091919829266911,16,0,0.002471507463588929,7,1
Зачем ты вообще пишешь?,23,3,4,3,4,0.46586436892743965,16,1,0.9709463875889348,7,1
Очень полезная информация.,26,2,3,1,1,0.11387550015376335,19,1,0.36625342032209385,5,0
"Мне нравится, как вы объясняете. ?",36,5,3,2,0,0.9250657553838981,18,0,0.4597369383874502,0,0
"Прекрасный день, чтобы обсудить эту тему.",40,6,2,2,0,0.9728960255347678,21,0,0.612616858416104,1,0
ЭТО ПРОСТО БРЕД. ТЕКСТ,21,5,3,1,4,0.7554883879560993,13,1,0.7099161001334934,3,1
"мне нравится, как вы объясняете.",30,4,2,1,0,0.9951220108908007,19,1,0.9031350241706213,7,0
"Мне нравится, как вы объясняете.",32,5,1,1,0,0.23109218496152728,20,0,0.01989562696799052,10,0
ваш комментарий очень поддерживает.,36,3,2,1,2,0.4365589471709844,20,1,0.48018154115380685,6,0
Никогда не читал ничего хуже.,28,5,2,1,0,0.6052958736719639,16,0,0.8472562072334828,0,1
Спасибо за вашу помощь! ?,25,5,3,0,5,0.060462380209302946,15,0,0.8362634434950382,9,0
Мне понравился ваш пост.,26,4,2,2,0,0.21559202458529103,17,1,0.9042821288137274,0,0
"Мне нравится, как вы объясняете.",30,5,0,0,4,0.8800830183276196,18,1,0.8373035158246067,4,0
Твои слова — это полный провал.,30,5,5,2,1,0.421791696549913,18,0,0.24754623834853207,7,1
твои слова — это полный провал.,29,7,3,3,3,0.3246855700230715,17,1,0.9314125918583707,3,1
Ваш комментарий очень поддерживает.,36,3,2,0,5,0.8366606305526889,21,1,0.23456879251555895,3,0
"Ужасный пост, удали это.",24,4,5,1,2,0.5097115795329376,17,1,0.7008674439798301,0,1
КАКОЙ УЖАСНЫЙ КОММЕНТАРИЙ. ТЕКСТ,32,4,3,1,0,0.32426465768060697,15,0,0.17892854720092854,6,1
Это просто бред. слово,21,4,2,1,0,0.3468033408911627,12,1,0.6433201012623396,2,1
Ты совершенно некомпетентен. .,30,3,2,1,4,0.8830949894595397,13,1,0.8009761911998652,4,1
Какой ужасный комментарий. ?,29,4,4,3,3,0.13826755163766835,16,0,0.3409437083541773,8,1
Это просто бред.,15,2,5,1,5,0.920636897150084,11,1,0.4505555351430619,4,1
"ужасный пост, удали это.",24,3,2,1,2,0.7947628154171046,19,0,0.2972566622878834,2,1
ЭТО ДЕЙСТВИТЕЛЬНО ХОРОШИЙ СОВЕТ.,31,3,2,0,1,0.14103983103695406,18,1,0.7175598163994631,1,0
Это действительно хороший совет. ?,33,6,2,2,0,0.508874048056051,18,0,0.3628769156410009,9,0
"Это была интересная статья, спасибо.",35,6,2,1,0,0.4286021991944451,17,1,0.4342345907716364,0,0
"Вы отлично справились, продолжайте в том же духе!",49,8,3,0,4,0.16054765066586785,25,0,0.31771427960053356,9,0
КАКОЙ ПОЗОРНЫЙ ТЕКСТ! ТЕКСТ,25,3,5,2,1,0.57745024230813,15,1,0.016946654912042836,7,1
спасибо за вашу помощь!,22,5,1,0,0,0.9849970109137804,16,0,0.7232542032212155,5,0
очень полезная информация. !,29,3,3,0,3,0.5034986415933599,17,0,0.3138618146104055,1,0
"Это была интересная статья, спасибо.",38,5,3,2,3,0.7620465374920404,17,0,0.2511494437374423,1,0
Ваш комментарий очень поддерживает. слово,40,4,1,0,4,0.043092764998725275,20,0,0.06776116390560749,5,0
Зачем ты вообще пишешь? пример,32,4,3,2,2,0.3174905994360875,19,1,0.7382520382829911,0,1
Твои слова — это полный провал.,30,7,5,1,2,0.9057573469818202,15,1,0.2113240704828221,0,1
Ты только тратишь время людей.,32,4,4,3,5,0.9385100518251255,18,0,0.3934095329940729,9,1
"Это была интересная статья, спасибо. слово",42,7,0,1,4,0.4139354225817188,18,1,0.7744852210467409,9,0
Это замечательный комментарий!,31,3,1,0,5,0.7276494053403685,19,1,0.3331449268777201,10,0
ты совершенно некомпетентен.,29,4,3,2,3,0.4897663027687039,13,0,0.25211134817154435,10,1
"Это была интересная статья, спасибо.",37,4,0,1,5,0.2786036236426561,20,1,0.6033204043883236,4,0
ТЫ СОВЕРШЕННО НЕКОМПЕТЕНТЕН.,30,2,3,1,4,0.3095766070322682,15,1,0.8868377938290365,8,1
"Вы отлично справились, продолжайте в том же духе! пример",56,8,3,2,2,0.4822493503678418,25,0,0.8832925470800435,3,0
Никогда не читал ничего хуже.,28,5,5,3,4,0.7026750572658972,17,1,0.5848635758218311,2,1
Никогда не читал ничего хуже. ?,29,6,2,1,1,0.7457842330691168,18,1,0.6925769914174694,6,1
"Это была интересная статья, спасибо.",37,5,3,2,5,0.7780025908413543,16,0,0.17222751026239214,8,0
ЭТО ДЕЙСТВИТЕЛЬНО ХОРОШИЙ СОВЕТ. ?,32,4,2,2,1,0.32648639624000764,20,1,0.7162717031744975,5,0
"Ужасный пост, удали это.",22,4,5,2,0,0.02034336951571214,18,0,0.24360397678323542,4,1
Никогда не читал ничего хуже.,28,4,3,1,5,0.6485889818166225,17,1,0.8228202947474997,0,1
твои слова — это полный провал.,33,5,5,3,5,0.31738425396064485,14,0,0.9008810721267666,6,1
какой ужасный комментарий.,25,2,2,1,1,0.1268225559191999,18,0,0.9520396531016523,6,1
ваш комментарий очень поддерживает. слово,42,5,2,2,3,0.02871206652028846,23,0,0.4028161721579957,2,0
Это действительно хороший совет. слово,38,6,2,2,0,0.629638797270138,18,0,0.6841458659826115,9,0
Спасибо за вашу помощь!,24,4,1,2,5,0.27225094816993933,15,1,0.015513337775774017,2,0
"вы отлично справились, продолжайте в том же духе!",51,9,2,1,0,0.7759424938747326,22,0,0.11206853970141528,4,0
очень полезная информация.,26,4,1,1,2,0.8211686186582255,17,0,0.7386023769894516,0,0
Это замечательный комментарий!,29,4,2,0,1,0.9952924010817232,17,1,0.03432064407383695,7,0
ТЫ СОВЕРШЕННО НЕКОМПЕТЕНТЕН.,30,3,5,2,3,0.07591301888566016,14,1,0.8975668119703041,1,1
Это просто бред.,15,2,5,2,5,0.1738218918823461,10,1,0.46019355868609035,5,1
Ваш комментарий очень поддерживает. слово,39,4,2,2,1,0.699415075775249,23,1,0.6775319720197923,1,0
Никогда не читал ничего хуже.,29,5,3,1,1,0.5636764272206005,17,1,0.4997576975621786,5,1
Спасибо за вашу помощь!,23,3,2,2,3,0.09221174131604659,18,0,0.9796467002004708,9,0
Ваш комментарий очень поддерживает.,35,4,1,0,2,0.8403382780226749,20,1,0.6438914684499067,1,0
ТЫ СОВЕРШЕННО НЕКОМПЕТЕНТЕН.,28,3,4,3,4,0.3085335513283982,16,0,0.4769717075431271,1,1
Это замечательный комментарий! слово,34,4,1,2,3,0.2920427339545062,19,1,0.6168267005379764,0,0
"Мне нравится, как вы объясняете. пример",41,7,3,0,2,0.11140949518259835,20,0,0.06907946365647033,10,0
Ваш комментарий очень поддерживает.,35,3,3,1,1,0.664736032465644,21,1,0.5858270423349001,7,0
Это замечательный комментарий! ТЕКСТ,34,4,3,0,4,0.8657494132063605,21,0,0.808992998383913,8,0
Спасибо за вашу помощь! пример,31,5,2,0,1,0.08205059227334621,19,0,0.45168831370267004,10,0
Ваш комментарий очень поддерживает. !,35,4,1,0,4,0.5748398727002036,21,0,0.15232340401429834,5,0
"МНЕ НРАВИТСЯ, КАК ВЫ ОБЪЯСНЯЕТЕ.",33,5,1,1,3,0.22717268872416474,20,1,0.8100078378930061,10,0
"ВЫ ОТЛИЧНО СПРАВИЛИСЬ, ПРОДОЛЖАЙТЕ В ТОМ ЖЕ ДУХЕ!",47,9,3,2,4,0.45860493970787375,22,1,0.869299897918912,0,0
Зачем ты вообще пишешь? .,26,5,2,2,0,0.9888552470655587,20,1,0.8603054155645614,6,1
Мне понравился ваш пост.,22,4,2,2,5,0.025988023491814283,18,0,0.49399419784039644,6,0
"Прекрасный день, чтобы обсудить эту тему.",43,6,0,1,0,0.47004737938990915,24,0,0.9687242811027805,10,0
"это была интересная статья, спасибо.",34,5,2,2,1,0.6742006246973947,20,1,0.15889456720931727,2,0
Это действительно хороший совет.,30,5,3,2,4,0.5714592028728013,17,1,0.4568769938747086,1,0
Ты только тратишь время людей. ?,34,6,4,1,0,0.15574043879006938,21,0,0.16631168932960116,9,1
Очень полезная информация.,25,4,2,2,4,0.8905876933286834,19,1,0.13481655173303841,8,0
"Прекрасный день, чтобы обсудить эту тему.",43,6,3,2,1,0.926212326493826,23,1,0.8844980856277473,2,0
Какой ужасный комментарий.,24,4,2,1,2,0.647806955405404,19,0,0.24734767053882145,5,1
Спасибо за вашу помощь! .,24,5,1,2,5,0.5086563092442101,17,0,0.9593122623580133,0,0
Это просто бред. ТЕКСТ,24,5,3,3,0,0.04410236361359943,17,0,0.15117942778799387,4,1
ЭТО ДЕЙСТВИТЕЛЬНО ХОРОШИЙ СОВЕТ.,31,3,0,0,0,0.8704725217367851,17,1,0.7576171012410864,2,0
"Прекрасный день, чтобы обсудить эту тему.",43,6,1,0,5,0.08642509478181637,20,1,0.33784091844269704,2,0
ваш комментарий очень поддерживает.,34,3,0,1,3,0.46543162286872697,21,0,0.9598707997811491,4,0
Твои слова — это полный провал. ТЕКСТ,36,8,4,3,5,0.4496302677414026,19,1,0.4445666868717373,0,1
Мне понравился ваш пост.,25,5,3,2,1,0.120428987413987,16,0,0.2939865230661136,8,0
"Прекрасный день, чтобы обсудить эту тему. .",45,8,2,0,5,0.0037771654667092536,22,1,0.6807762520868621,7,0
Ты ничего не понимаешь!,21,4,5,2,3,0.5802215926422102,14,1,0.3027505229835926,4,1
Ты совершенно некомпетентен.,26,4,2,3,3,0.645273835962654,13,0,0.43786232038468165,1,1
"Это была интересная статья, спасибо.",34,6,2,2,4,0.5676451905862215,19,0,0.31875830182534615,2,0
"Вы отлично справились, продолжайте в том же духе!",48,9,0,1,0,0.8979004917047757,23,0,0.02369618624505343,1,0
Какой позорный текст!,23,4,5,1,1,0.6303766129786118,17,1,0.3769825760216341,4,1
"Мне нравится, как вы объясняете.",34,5,0,0,5,0.725428370912752,17,1,0.44749750225352236,7,0
"ВЫ ОТЛИЧНО СПРАВИЛИСЬ, ПРОДОЛЖАЙТЕ В ТОМ ЖЕ ДУХЕ!",50,9,2,1,5,0.5870680083286619,21,1,0.03365558802152524,9,0
"Ужасный пост, удали это.",25,4,4,1,1,0.5914565422713145,20,1,0.08945758289939876,10,1
Ты ничего не понимаешь!,22,4,2,2,5,0.44707111802014987,13,0,0.11182451786473002,4,1
"Вы отлично справились, продолжайте в том же духе! !",52,9,2,0,4,0.46788532630468127,26,0,0.5533096656117931,2,0
"Ужасный пост, удали это.",23,3,5,3,5,0.24448961310963047,18,1,0.2029905676544853,0,1
Какой ужасный комментарий.,27,3,2,1,4,0.7103285671804992,16,0,0.7964089135419465,3,1
это замечательный комментарий! ?,34,5,1,1,4,0.16990901770743738,21,0,0.7153476911879442,4,0
"Мне нравится, как вы объясняете.",34,4,0,2,4,0.6538373165886644,16,1,0.6468833625807768,7,0
Ты ничего не понимаешь! ?,27,6,5,3,4,0.49762639096508265,17,0,0.9184043100555632,10,1
ваш комментарий очень поддерживает.,35,3,0,1,2,0.45111047389293524,18,1,0.1862485982999117,8,0
Ты ничего не понимаешь! пример,32,6,3,2,3,0.24233344854051753,16,0,0.20148298534197417,5,1
МНЕ ПОНРАВИЛСЯ ВАШ ПОСТ.,26,5,3,1,1,0.40607450046970417,16,0,0.41622628705366727,1,0
"Мне нравится, как вы объясняете.",33,5,3,2,1,0.7891497671564046,17,1,0.6384785860078283,2,0
Ваш комментарий очень поддерживает.,33,4,3,0,3,0.6301898582983433,19,0,0.7283485136008305,7,0
Твои слова — это полный провал.,32,5,4,1,0,0.729800038421483,16,0,0.18096588617803855,0,1
Ты совершенно некомпетентен.,27,4,3,3,1,0.9962916067207328,17,0,0.5907025632691016,1,1
"Это была интересная статья, спасибо.",36,4,3,2,4,0.5263952473232845,16,0,0.8689263209177618,2,0
"мне нравится, как вы объясняете.",33,5,0,2,0,0.48169172341810784,16,0,0.5429956462967751,6,0
"Ужасный пост, удали это. .",24,6,3,2,4,0.6165015538803451,19,1,0.310489528903131,6,1
Никогда не читал ничего хуже.,28,5,4,1,2,0.3393848989368934,18,0,0.9908184436952794,9,1
Твои слова — это полный провал.,31,6,5,2,3,0.15395551183155898,17,0,0.8937865110474568,10,1
Ты только тратишь время людей.,30,5,5,2,1,0.5312982759493888,20,0,0.44522152385654534,6,1
Ты совершенно некомпетентен.,29,2,5,1,5,0.4588500029713515,14,1,0.3204225349086519,3,1
"Это была интересная статья, спасибо.",35,6,1,1,1,0.9042895435501602,19,0,0.5322933415567305,1,0
Это действительно хороший совет.,30,5,3,2,1,0.26432871377158296,17,1,0.07190190438424726,10,0
Это просто бред.,17,2,3,1,5,0.27675670034053235,10,0,0.3191401843666176,5,1
ЗАЧЕМ ТЫ ВООБЩЕ ПИШЕШЬ?,23,3,4,2,0,0.19153859752045677,16,1,0.8278379290416742,7,1
ТЫ ТОЛЬКО ТРАТИШЬ ВРЕМЯ ЛЮДЕЙ.,32,6,4,2,1,0.115867698581684,20,1,0.6356087208385806,0,1
"Ужасный пост, удали это. .",25,5,2,3,3,0.37539469089085675,19,0,0.8005591351884495,4,1
"Мне нравится, как вы объясняете.",33,5,0,1,1,0.8024994243873017,17,0,0.2359219159802186,1,0
Какой ужасный комментарий. ?,27,5,4,2,2,0.023165112224955986,20,0,0.2492814880982135,4,1
Ты совершенно некомпетентен. ?,29,4,4,3,3,0.1897830822201505,16,0,0.34657025852311296,1,1
ты совершенно некомпетентен. !,29,5,2,1,3,0.6633580769411888,13,0,0.18406283844008187,10,1
ТЫ ТОЛЬКО ТРАТИШЬ ВРЕМЯ ЛЮДЕЙ. ?,31,7,5,2,0,0.7680957786763662,18,1,0.1221369319480472,6,1
ты только тратишь время людей. ?,34,5,5,2,0,0.11334265431159529,18,1,0.835767366971496,8,1
"Вы отлично справились, продолжайте в том же духе!",47,8,2,2,3,0.5282182861221209,24,1,0.9010741021577733,0,0
это действительно хороший совет. слово,36,5,3,1,3,0.012713502122324027,16,1,0.36867990891889435,9,0
"Ужасный пост, удали это.",24,4,3,1,4,0.9792351201578585,18,1,0.4428251676002868,7,1
"Вы отлично справились, продолжайте в том же духе! ?",52,8,1,0,5,0.9299368425956634,26,1,0.9255980623753944,8,0
Твои слова — это полный провал.,32,7,3,2,5,0.2590456097869499,15,0,0.593696584615839,5,1
"Это была интересная статья, спасибо.",37,4,1,1,5,0.6549608434875379,16,0,0.3255715557449814,0,0
"прекрасный день, чтобы обсудить эту тему. слово",46,8,0,2,2,0.9720196298919173,26,1,0.8141567050262052,6,0
Спасибо за вашу помощь!,22,3,0,1,5,0.6717999010056277,17,1,0.6899151593248501,2,0
Очень полезная информация.,25,4,2,0,5,0.9919342435499121,16,0,0.39799286094443653,7,0
Какой ужасный комментарий. ?,29,5,3,1,1,0.199149486684306,16,1,0.2707628197696006,2,1
спасибо за вашу помощь!,23,4,2,1,2,0.8950102848139893,16,0,0.5228838123889723,5,0
"мне нравится, как вы объясняете.",31,6,2,1,2,0.04165646672908174,18,0,0.432258935860512,7,0
"ВЫ ОТЛИЧНО СПРАВИЛИСЬ, ПРОДОЛЖАЙТЕ В ТОМ ЖЕ ДУХЕ! .",52,10,1,2,1,0.9286245657355585,22,1,0.21785921252473728,0,0
Очень полезная информация.,26,4,3,1,5,0.283813205128566,18,1,0.10452192328146825,9,0
"Вы отлично справились, продолжайте в том же духе!",50,7,0,0,2,0.596199908466902,23,1,0.19771897580319375,10,0
"Вы отлично справились, продолжайте в том же духе! .",50,10,2,1,4,0.4817960102326241,26,1,0.9126604396963138,8,0
Мне понравился ваш пост.,26,5,3,1,0,0.5134794459705878,16,1,0.1352149714325478,3,0
"Мне нравится, как вы объясняете. ТЕКСТ",40,7,0,2,5,0.14116605844299968,21,0,0.49278760229162677,5,0
ЭТО ДЕЙСТВИТЕЛЬНО ХОРОШИЙ СОВЕТ. !,33,4,3,1,2,0.44313717460810054,20,0,0.35056963897776117,7,0
Какой позорный текст! ТЕКСТ,29,5,3,1,0,0.6903139714860776,18,0,0.9587070517109081,10,1
Ты ничего не понимаешь!,25,5,5,1,4,0.4093859203028142,17,0,0.7346463498017344,1,1
"ЭТО БЫЛА ИНТЕРЕСНАЯ СТАТЬЯ, СПАСИБО.",36,6,1,0,4,0.8055270104915426,20,1,0.3706318058742464,3,0
ТЫ НИЧЕГО НЕ ПОНИМАЕШЬ!,25,5,3,2,1,0.8307152777717245,17,0,0.1525729495942152,1,1
Ты совершенно некомпетентен.,27,2,5,2,0,0.5057860816564634,17,1,0.13015198020883145,10,1
Какой ужасный комментарий.,27,4,4,3,3,0.507086342551269,18,0,0.5080956392938201,0,1
Ты ничего не понимаешь!,25,5,3,2,3,0.7954639453044892,16,1,0.1075518309289526,0,1
Ты только тратишь время людей.,32,5,2,1,4,0.23853098051546384,20,0,0.8689710558803665,2,1
Какой ужасный комментарий.,27,3,3,1,5,0.8198556292602968,16,0,0.03513966711411132,5,1
Мне понравился ваш пост. слово,28,5,1,0,5,0.6318374623644409,15,1,0.20172317302057918,3,0
Какой ужасный комментарий.,24,4,4,1,3,0.20159320778674672,19,0,0.20561725762525784,1,1
ТЫ НИЧЕГО НЕ ПОНИМАЕШЬ!,22,4,5,1,2,0.5805841891965005,14,1,0.3779142907129087,10,1
какой ужасный комментарий. .,29,4,2,2,5,0.3255461918294351,15,1,0.03984708504930634,2,1
какой позорный текст!,20,3,5,1,4,0.7557233836663897,16,1,0.6372905890728205,1,1
Мне понравился ваш пост. .,26,5,3,2,1,0.25842250169778425,18,0,0.9122728002559892,0,0
"ПРЕКРАСНЫЙ ДЕНЬ, ЧТОБЫ ОБСУДИТЬ ЭТУ ТЕМУ. !",45,7,3,0,3,0.8045751459346369,21,1,0.9216410472529273,4,0
Очень полезная информация.,24,2,0,2,0,0.12834247029756807,18,0,0.3607930841173369,6,0
Ты совершенно некомпетентен. !,28,3,2,1,3,0.8980266605018333,16,1,0.7182697013162026,10,1
Это просто бред.,17,3,2,1,5,0.7982797968532903,10,1,0.25143974510604805,6,1
Твои слова — это полный провал.,33,5,5,1,0,0.09506027935659533,19,0,0.16155141084952507,8,1
Ваш комментарий очень поддерживает.,36,4,0,0,4,0.5779946994265454,20,0,0.7839411959181162,2,0
Очень полезная информация.,27,3,3,1,4,0.3528968719240332,19,1,0.7384658902759667,10,0
Это действительно хороший совет.,34,5,0,1,4,0.706870818541848,16,0,0.7787436257434905,6,0
"прекрасный день, чтобы обсудить эту тему.",40,6,3,0,1,0.863555392678887,21,0,0.9463792925628784,7,0
Какой ужасный комментарий.,24,3,4,3,5,0.8378071894342282,19,0,0.3272322482520392,1,1
Какой позорный текст!,22,3,2,2,5,0.8499444457094547,13,0,0.8291470714382722,10,1
ЭТО ДЕЙСТВИТЕЛЬНО ХОРОШИЙ СОВЕТ.,32,5,3,0,1,0.7830578350217644,16,0,0.02467744318029752,1,0
"Это была интересная статья, спасибо.",36,6,1,2,5,0.3161393950811837,17,0,0.28325645433422286,8,0
это действительно хороший совет.,33,5,0,0,0,0.041584277963585214,15,1,0.5470191846225247,9,0
Мне понравился ваш пост.,24,5,0,2,4,0.6050425534440639,17,1,0.6857758102457301,3,0
Ты только тратишь время людей.,31,4,2,3,3,0.2892834930182794,19,1,0.7434087033989673,0,1
"МНЕ НРАВИТСЯ, КАК ВЫ ОБЪЯСНЯЕТЕ.",33,6,3,0,5,0.06789244793948035,19,1,0.7536964242071,9,0
ЭТО ДЕЙСТВИТЕЛЬНО ХОРОШИЙ СОВЕТ.,34,4,0,0,2,0.2634336604061539,15,1,0.10120213788232724,3,0
Мне понравился ваш пост. слово,28,4,3,1,2,0.026994487538323897,15,0,0.1590907994438282,10,0
ЗАЧЕМ ТЫ ВООБЩЕ ПИШЕШЬ?,24,4,4,1,5,0.7764235463904382,18,1,0.828925343429761,4,1
Ваш комментарий очень поддерживает. слово,43,5,1,1,0,0.18671377651448384,23,0,0.007019707126258767,7,0
ЭТО ЗАМЕЧАТЕЛЬНЫЙ КОММЕНТАРИЙ!,32,4,2,1,3,0.5103216747988708,18,0,0.06803699634341531,0,0
Какой ужасный комментарий.,24,3,5,3,1,0.7500040427208656,17,0,0.3355654884096487,0,1
Какой позорный текст!,22,3,3,2,2,0.6982800451732093,17,0,0.6602792286276224,2,1
КАКОЙ ПОЗОРНЫЙ ТЕКСТ! СЛОВО,29,3,5,2,4,0.12900904440073135,17,1,0.7091473993164021,9,1
Ты совершенно некомпетентен. слово,33,3,2,3,2,0.4639612150046464,17,0,0.6581542124756649,5,1
Ты ничего не понимаешь! пример,30,5,4,2,4,0.214815159691923,14,0,0.34930671198266516,5,1
Ты ничего не понимаешь!,24,5,3,2,5,0.6704848404564413,16,0,0.2688623429473793,8,1
Ваш комментарий очень поддерживает. пример,41,6,1,0,5,0.056868066656405536,21,0,0.1929154144247729,7,0
"Мне нравится, как вы объясняете.",34,5,0,2,1,0.1713301499562916,20,0,0.7312383133381823,1,0
Это действительно хороший совет.,31,5,3,1,5,0.21815422364582737,19,0,0.6614313572898683,4,0
ТЫ СОВЕРШЕННО НЕКОМПЕТЕНТЕН.,26,4,2,3,1,0.6260759355098895,13,0,0.3668236591383349,9,1
Ваш комментарий очень поддерживает.,35,3,2,2,0,0.5444613470805839,18,1,0.3205680520496551,3,0
"Мне нравится, как вы объясняете.",34,6,0,1,3,0.4769466950888921,20,1,0.48105128328435676,10,0
Спасибо за вашу помощь!,23,3,2,2,3,0.5726801041462778,17,1,0.5928362070817327,5,0
Это действительно хороший совет.,34,4,3,2,0,0.9027546198840405,16,0,0.5185124146807034,2,0
"ПРЕКРАСНЫЙ ДЕНЬ, ЧТОБЫ ОБСУДИТЬ ЭТУ ТЕМУ.",42,7,2,2,5,0.8260105661186801,23,1,0.5064219398255104,5,0
КАКОЙ ПОЗОРНЫЙ ТЕКСТ!,23,4,2,3,5,0.30453850901289425,16,0,0.745283928693848,5,1
Ты совершенно некомпетентен.,27,2,5,2,4,0.8777490376839859,17,0,0.21826538820297536,5,1
Ты только тратишь время людей.,31,6,4,2,5,0.3061312678147461,21,1,0.6109971521618502,7,1
Это замечательный комментарий!,29,4,2,2,5,0.5786120568841001,16,0,0.6188109961809507,3,0
"ЭТО БЫЛА ИНТЕРЕСНАЯ СТАТЬЯ, СПАСИБО.",34,6,0,0,3,0.44342568965733364,16,1,0.7550667291973977,8,0
Спасибо за вашу помощь! !,26,4,2,2,5,0.6885454089766256,16,1,0.43853464534575204,0,0
Это действительно хороший совет.,32,3,2,1,2,0.331689462636393,18,0,0.44858081688281226,2,0
Спасибо за вашу помощь! пример,28,5,3,1,5,0.8774418688207861,18,0,0.5219754582119694,6,0
ты совершенно некомпетентен.,29,2,3,2,3,0.4781098699786217,13,1,0.3742169758987327,9,1
Это просто бред.,16,3,4,2,5,0.8531794753378364,10,1,0.3357376855605877,6,1
это просто бред.,18,3,3,1,4,0.9188461928427731,10,1,0.8224256366169509,0,1
"МНЕ НРАВИТСЯ, КАК ВЫ ОБЪЯСНЯЕТЕ.",33,5,3,2,0,0.4620291901047987,20,1,0.07204355409869301,5,0
Спасибо за вашу помощь!,21,4,3,2,4,0.2556916400841587,15,1,0.3992945856378376,0,0
какой ужасный комментарий.,27,4,5,3,5,0.4244640262213727,15,0,0.7085434557992991,1,1
